Type,Budget Amount,Fund,Department,Program,Account Type,Account,Budget Year
EXPENSE,878000,General Fund,PRCR - Recreation-School Based,Youth Programs,Salaries and Wages,Salaries-Pt Temp/Seasonal,2012
EXPENSE,-4143,General Fund,PRCR - Recreation-School Based,Youth Programs,Employee Benefits,Health Insurance Increment,2012
EXPENSE,2000,General Fund,PRCR - Recreation-School Based,Youth Programs,Direct Expenses,Telephone/Comm (Hard Lines),2012
EXPENSE,5878,General Fund,PRCR - Recreation-School Based,Youth Programs,Direct Expenses,Computer Operations & Access,2012
EXPENSE,1000,General Fund,PRCR - Recreation-School Based,Youth Programs,Miscellaneous,Licenses/Dues & Publications,2012
EXPENSE,95516,General Fund,PRCR - Recreation-School Based,Youth Programs,Direct Expenses,Operational & Maint Supplies,2012
EXPENSE,7454,General Fund,PRCR - Recreation-School Based,Youth Programs,Direct Expenses,Cellular/Wireless Voice Lines,2012
EXPENSE,3000,General Fund,PRCR - Recreation-School Based,Youth Programs,Miscellaneous,Program Expense (Internal Chgs,2012
EXPENSE,58492,General Fund,Police Administrative Services,Admn-Ps,Employee Benefits,Medicare,2012
EXPENSE,788000,General Fund,Police Administrative Services,Admn-Ps,Direct Expenses,Uniforms,2012
EXPENSE,5277,General Fund,Police Administrative Services,Admn-Ps,Employee Benefits,FICA Temp,2012
EXPENSE,73003,General Fund,Police Administrative Services,Admn-Ps,Salaries and Wages,Longevity,2012
EXPENSE,284918,General Fund,Police Administrative Services,Admn-Ps,Employee Benefits,Retirement,2012
EXPENSE,10000,General Fund,Police Administrative Services,Admn-Ps,Miscellaneous,Advertising,2012
EXPENSE,10000,General Fund,Police Administrative Services,Admn-Ps,Salaries and Wages,Holiday Pay,2012
EXPENSE,3989113,General Fund,Police Administrative Services,Admn-Ps,Salaries and Wages,Salaries-Ft,2012
EXPENSE,1234,General Fund,Police Administrative Services,Admn-Ps,Employee Benefits,Medicare Temp,2012
EXPENSE,140000,General Fund,Police Administrative Services,Admn-Ps,Direct Expenses,Wan Data Line,2012
EXPENSE,100000,General Fund,Police Administrative Services,Admn-Ps,Capital Equipment,Computer Equip,2012
EXPENSE,278941,General Fund,Police Administrative Services,Admn-Ps,Direct Expenses,Computer Lease,2012
EXPENSE,27920,General Fund,Police Administrative Services,Admn-Ps,Salaries and Wages,Merit Increase,2012
EXPENSE,24722,General Fund,Police Administrative Services,Admn-Ps,Direct Expenses,Print Copy-Rmb,2012
EXPENSE,216,General Fund,Police Administrative Services,Admn-Ps,Salaries and Wages,Range Increase,2012
EXPENSE,-17481,General Fund,Police Administrative Services,Admn-Ps,Employee Benefits,457 Plan Offset,2012
EXPENSE,-27920,General Fund,Police Administrative Services,Admn-Ps,Salaries and Wages,Earnings Offset,2012
EXPENSE,8000,General Fund,Police Administrative Services,Admn-Ps,Direct Expenses,Lease-Equipment,2012
EXPENSE,22000,General Fund,Police Administrative Services,Admn-Ps,Direct Expenses,Natural Gas Svc,2012
EXPENSE,55000,General Fund,Police Administrative Services,Admn-Ps,Direct Expenses,Office Supplies,2012
EXPENSE,25000,General Fund,Police Administrative Services,Admn-Ps,Direct Expenses,Photocopy Maint,2012
EXPENSE,3100,General Fund,Police Administrative Services,Admn-Ps,Employee Benefits,Retirement Temp,2012
EXPENSE,12000,General Fund,Police Administrative Services,Admn-Ps,Direct Expenses,Small Equipment,2012
EXPENSE,250104,General Fund,Police Administrative Services,Admn-Ps,Employee Benefits,Social Security,2012
EXPENSE,31626,General Fund,Police Administrative Services,Admn-Ps,Employee Benefits,Dental Insurance,2012
EXPENSE,200000,General Fund,Police Administrative Services,Admn-Ps,Direct Expenses,Electric Service,2012
EXPENSE,533307,General Fund,Police Administrative Services,Admn-Ps,Employee Benefits,Health Insurance,2012
EXPENSE,17500,General Fund,Police Administrative Services,Admn-Ps,Direct Expenses,Medical Services,2012
EXPENSE,2500,General Fund,Police Administrative Services,Admn-Ps,Employee Benefits,Police 401K Temp,2012
EXPENSE,15000,General Fund,Police Administrative Services,Admn-Ps,Direct Expenses,Rental-Equipment,2012
EXPENSE,4250,General Fund,Police Administrative Services,Admn-Ps,Interfund Transfers In/Out,To 310 W/S Reimb,2012
EXPENSE,15108,General Fund,Police Administrative Services,Admn-Ps,Salaries and Wages,Expense Allowance,2012
EXPENSE,81000,General Fund,Police Administrative Services,Admn-Ps,Capital Equipment,Audio Visual Equip,2012
EXPENSE,3631,General Fund,Police Administrative Services,Admn-Ps,Employee Benefits,Group Life Ad & Di,2012
EXPENSE,7500,General Fund,Police Administrative Services,Admn-Ps,Capital Equipment,Shop Tools & Equip,2012
EXPENSE,400000,General Fund,Police Administrative Services,Admn-Ps,Direct Expenses,Wireless Data Comm,2012
EXPENSE,20000,General Fund,Police Administrative Services,Admn-Ps,Direct Expenses,Repairs-Other Equip,2012
EXPENSE,200000,General Fund,Police Administrative Services,Admn-Ps,Capital Equipment,Communications Equip,2012
EXPENSE,260,General Fund,Police Administrative Services,Admn-Ps,Direct Expenses,Pest Control Service,2012
EXPENSE,1683360,General Fund,Police Administrative Services,Admn-Ps,Direct Expenses,Rental-Real Property,2012
EXPENSE,2000,General Fund,Police Administrative Services,Admn-Ps,Direct Expenses,Repairs-Office Equip,2012
EXPENSE,30000,General Fund,Police Administrative Services,Admn-Ps,Direct Expenses,Rsv-Wide Area Network,2012
EXPENSE,1080000,General Fund,Police Administrative Services,Admn-Ps,Direct Expenses,Contractual Svcs-Other,2012
EXPENSE,500,General Fund,Police Administrative Services,Admn-Ps,Miscellaneous,Employee Reimb Expense,2012
EXPENSE,167803,General Fund,Police Administrative Services,Admn-Ps,Direct Expenses,Equipment Usage Charge,2012
EXPENSE,1004800,General Fund,Police Administrative Services,800 Mhz Radios,Direct Expenses,Equipment Usage Charge,2012
EXPENSE,55000,General Fund,Police Administrative Services,Admn-Ps,Other Expense,Grant Match City Share,2012
EXPENSE,145000,General Fund,Police Administrative Services,Admn-Ps,Direct Expenses,Repairs-Bldg/Structure,2012
EXPENSE,160000,General Fund,Police Administrative Services,Admn-Ps,Capital Equipment,Capital Equipment-Other,2012
EXPENSE,155000,General Fund,Police Administrative Services,Admn-Ps,Direct Expenses,Professional Svcs-Other,2012
EXPENSE,210000,General Fund,Police Administrative Services,Admn-Ps,Direct Expenses,Service Contracts-Other,2012
EXPENSE,52973,General Fund,Police Administrative Services,Admn-Ps,Employee Benefits,Supplemental Retirement,2012
EXPENSE,1552784,General Fund,Police Administrative Services,Admn-Ps,Other Expense,To Isf-Sir Workers Comp,2012
EXPENSE,140000,General Fund,Police Administrative Services,Admn-Ps,Miscellaneous,Training & Travel & Reg,2012
EXPENSE,150862,General Fund,Police Administrative Services,Admn-Ps,Direct Expenses,Motor Fuels & Lubricants,2012
EXPENSE,10000,General Fund,Police Administrative Services,Admn-Ps,Capital Equipment,Office Furniture & Equip,2012
EXPENSE,40000,General Fund,Police Administrative Services,Admn-Ps,Salaries and Wages,Salaries-Ot For Ft Staff,2012
EXPENSE,20000,General Fund,Police Administrative Services,Admn-Ps,Salaries and Wages,Salaries-Pt Temp/Seasonal,2012
EXPENSE,164000,General Fund,Police Administrative Services,Admn-Ps,Direct Expenses,Vehicle Maint & Operation,2012
EXPENSE,-48225,General Fund,Police Administrative Services,Admn-Ps,Employee Benefits,Health Insurance Increment,2012
EXPENSE,78544,General Fund,Police Administrative Services,Admn-Ps,Employee Benefits,Supplemental Retire-Police,2012
EXPENSE,50000,General Fund,Police Administrative Services,Admn-Ps,Miscellaneous,Organization Dev & Training,2012
EXPENSE,51305,General Fund,Police Administrative Services,Admn-Ps,Direct Expenses,Telephone/Comm (Hard Lines),2012
EXPENSE,576071,General Fund,Police Administrative Services,Admn-Ps,Direct Expenses,Computer Operations & Access,2012
EXPENSE,35000,General Fund,Police Administrative Services,Admn-Ps,Miscellaneous,Licenses/Dues & Publications,2012
EXPENSE,300000,General Fund,Police Administrative Services,Admn-Ps,Direct Expenses,Operational & Maint Supplies,2012
EXPENSE,71633,General Fund,Police Administrative Services,Admn-Ps,Employee Benefits,Retirement-Police Separation,2012
EXPENSE,158238,General Fund,Police Administrative Services,Admn-Ps,Direct Expenses,Cellular/Wireless Voice Lines,2012
EXPENSE,50000,General Fund,Police Administrative Services,Admn-Ps,Direct Expenses,Copier Maintenance/Impressions,2012
EXPENSE,4900,General Fund,Police Administrative Services,Admn-Ps,Interfund Transfers In/Out,To 460 Reimb Engineering Stm W,2012
EXPENSE,56919,General Fund,Solid Waste Residential Collec,SWS-Administration,Employee Benefits,Medicare,2012
EXPENSE,4211,General Fund,Solid Waste Residential Collec,SWS-Bulky/Special Loads,Employee Benefits,Medicare,2012
EXPENSE,61330,General Fund,Solid Waste Residential Collec,SWS-Administration,Salaries and Wages,Longevity,2012
EXPENSE,6098,General Fund,Solid Waste Residential Collec,SWS-Bulky/Special Loads,Salaries and Wages,Longevity,2012
EXPENSE,270365,General Fund,Solid Waste Residential Collec,SWS-Administration,Employee Benefits,Retirement,2012
EXPENSE,20189,General Fund,Solid Waste Residential Collec,SWS-Bulky/Special Loads,Employee Benefits,Retirement,2012
EXPENSE,3841459,General Fund,Solid Waste Residential Collec,SWS-Administration,Salaries and Wages,Salaries-Ft,2012
EXPENSE,282227,General Fund,Solid Waste Residential Collec,SWS-Bulky/Special Loads,Salaries and Wages,Salaries-Ft,2012
EXPENSE,22483,General Fund,Solid Waste Residential Collec,SWS-Administration,Salaries and Wages,Merit Increase,2012
EXPENSE,2102,General Fund,Solid Waste Residential Collec,SWS-Bulky/Special Loads,Salaries and Wages,Merit Increase,2012
EXPENSE,171,General Fund,Solid Waste Residential Collec,SWS-Administration,Salaries and Wages,Range Increase,2012
EXPENSE,18,General Fund,Solid Waste Residential Collec,SWS-Bulky/Special Loads,Salaries and Wages,Range Increase,2012
EXPENSE,-21842,General Fund,Solid Waste Residential Collec,SWS-Administration,Employee Benefits,457 Plan Offset,2012
EXPENSE,-1422,General Fund,Solid Waste Residential Collec,SWS-Bulky/Special Loads,Employee Benefits,457 Plan Offset,2012
EXPENSE,-22483,General Fund,Solid Waste Residential Collec,SWS-Administration,Salaries and Wages,Earnings Offset,2012
EXPENSE,-2102,General Fund,Solid Waste Residential Collec,SWS-Bulky/Special Loads,Salaries and Wages,Earnings Offset,2012
EXPENSE,243377,General Fund,Solid Waste Residential Collec,SWS-Administration,Employee Benefits,Social Security,2012
EXPENSE,18008,General Fund,Solid Waste Residential Collec,SWS-Bulky/Special Loads,Employee Benefits,Social Security,2012
EXPENSE,43902,General Fund,Solid Waste Residential Collec,SWS-Administration,Employee Benefits,Dental Insurance,2012
EXPENSE,2492,General Fund,Solid Waste Residential Collec,SWS-Bulky/Special Loads,Employee Benefits,Dental Insurance,2012
EXPENSE,780932,General Fund,Solid Waste Residential Collec,SWS-Administration,Employee Benefits,Health Insurance,2012
EXPENSE,46283,General Fund,Solid Waste Residential Collec,SWS-Bulky/Special Loads,Employee Benefits,Health Insurance,2012
EXPENSE,3533,General Fund,Solid Waste Residential Collec,SWS-Administration,Employee Benefits,Group Life Ad & Di,2012
EXPENSE,261,General Fund,Solid Waste Residential Collec,SWS-Bulky/Special Loads,Employee Benefits,Group Life Ad & Di,2012
EXPENSE,66187,General Fund,Solid Waste Residential Collec,SWS-Administration,Employee Benefits,Supplemental Retirement,2012
EXPENSE,4309,General Fund,Solid Waste Residential Collec,SWS-Bulky/Special Loads,Employee Benefits,Supplemental Retirement,2012
EXPENSE,-70617,General Fund,Solid Waste Residential Collec,SWS-Administration,Employee Benefits,Health Insurance Increment,2012
EXPENSE,-4185,General Fund,Solid Waste Residential Collec,SWS-Bulky/Special Loads,Employee Benefits,Health Insurance Increment,2012
EXPENSE,100000,Revolving Fund,Fire Adm,Fire-Reg Resp Team #4 Revolvin,Direct Expenses,Operational & Maint Supplies,2012
EXPENSE,1000,Revolving Fund,Planning,Appearance Commission,Direct Expenses,Operational & Maint Supplies,2012
EXPENSE,500,Revolving Fund,Inspections,Inspections Training Program,Direct Expenses,Print Copy-Rmb,2012
EXPENSE,500,Revolving Fund,Inspections,Inspections Training Program,Direct Expenses,Office Supplies,2012
EXPENSE,2500,Revolving Fund,Inspections,Inspections Training Program,Direct Expenses,Computer Operations & Access,2012
EXPENSE,500,Revolving Fund,Inspections,Inspections Training Program,Miscellaneous,Licenses/Dues & Publications,2012
EXPENSE,500,Revolving Fund,Inspections,Inspections Training Program,Direct Expenses,Operational & Maint Supplies,2012
EXPENSE,1000,Revolving Fund,City Manager,Environmental Awards Program,Miscellaneous,Promotions,2012
EXPENSE,1500,Revolving Fund,City Manager,Environmental Awards Program,Direct Expenses,Rsv-Program,2012
EXPENSE,500,Revolving Fund,City Manager,Environmental Awards Program,Direct Expenses,Rental-Other,2012
EXPENSE,1000,Revolving Fund,City Manager,Environmental Awards Program,Direct Expenses,Print Copy-Remote,2012
EXPENSE,2800,Revolving Fund,City Manager,Environmental Awards Program,Direct Expenses,Contractual Svcs-Other,2012
EXPENSE,2650,Revolving Fund,City Manager,Environmental Awards Program,Direct Expenses,Operational & Maint Supplies,2012
EXPENSE,50,Revolving Fund,City Manager,Environmental Awards Program,Miscellaneous,Offset Carbon Credit Purchase,2012
EXPENSE,80964,Revolving Fund,Fire Training,Rsv-Cor Fire Usar Reserve,Direct Expenses,Special Projects & Programs,2012
EXPENSE,500,Revolving Fund,Community Svcs,Citizen Involvment,Direct Expenses,Office Supplies,2012
EXPENSE,5500,Revolving Fund,Community Svcs,Citizen Involvment,Direct Expenses,Contractual Svcs-Other,2012
EXPENSE,6000,Revolving Fund,Community Svcs,Citizen Involvment,Direct Expenses,Operational & Maint Supplies,2012
EXPENSE,100000,Revolving Fund,Non-Departmental,Non Program Expenditures,Interfund Transfers In/Out,To 625 Park Impv,2012
EXPENSE,100000,Revolving Fund,Non-Departmental,Non Program Expenditures,Interfund Transfers In/Out,To 100 General Fd,2012
EXPENSE,110073,Revolving Fund,Non-Departmental,Parks & Rec-Revolving,Other Expense,To Isf-Sir Workers Comp,2012
EXPENSE,6000,Revolving Fund,PRCR-Arts Office,Arts Commission,Direct Expenses,Rsv-Program,2012
EXPENSE,200,Revolving Fund,PRCR - Recreation,Parks & Rec-Revolving,Miscellaneous,Postage,2012
EXPENSE,45265,Revolving Fund,PRCR - Recreation,Parks & Rec-Revolving,Direct Expenses,Uniforms,2012
EXPENSE,5000,Revolving Fund,PRCR - Recreation,Community Ctr Equipment,Direct Expenses,Uniforms,2012
EXPENSE,5000,Revolving Fund,PRCR - Recreation,Athletics,Direct Expenses,Uniforms,2012
EXPENSE,1000,Revolving Fund,PRCR - Recreation,General Recreation,Direct Expenses,Uniforms,2012
EXPENSE,1000,Revolving Fund,PRCR - Recreation,Parks & Rec Marketing,Direct Expenses,Uniforms,2012
EXPENSE,1800,Revolving Fund,PRCR - Recreation,Parks & Rec Sports Consortium,Direct Expenses,Uniforms,2012
EXPENSE,2500,Revolving Fund,PRCR - Recreation,Youth Programs,Direct Expenses,Uniforms,2012
EXPENSE,2049,Revolving Fund,PRCR - Recreation,Teen Programs,Direct Expenses,Uniforms,2012
EXPENSE,850,Revolving Fund,PRCR - Recreation,Tennis,Direct Expenses,Uniforms,2012
EXPENSE,500,Revolving Fund,PRCR - Recreation,Vhip,Direct Expenses,Uniforms,2012
EXPENSE,500,Revolving Fund,PRCR - Recreation,Anderson Point,Direct Expenses,Uniforms,2012
EXPENSE,400,Revolving Fund,PRCR - Recreation,Esl Program,Direct Expenses,Uniforms,2012
EXPENSE,200,Revolving Fund,PRCR - Recreation,St Monica Teens,Direct Expenses,Uniforms,2012
EXPENSE,15169,Revolving Fund,PRCR - Recreation,Parks & Rec-Revolving,Capital Equipment,Art Equip,2012
EXPENSE,91122,Revolving Fund,PRCR - Recreation,Parks & Rec-Revolving,Employee Benefits,FICA Temp,2012
EXPENSE,2728,Revolving Fund,PRCR - Recreation,Adventure Camps,Employee Benefits,FICA Temp,2012
EXPENSE,1240,Revolving Fund,PRCR - Recreation,Community Ctr Equipment,Employee Benefits,FICA Temp,2012
EXPENSE,4960,Revolving Fund,PRCR - Recreation,Athletics,Employee Benefits,FICA Temp,2012
EXPENSE,2480,Revolving Fund,PRCR - Recreation,General Recreation,Employee Benefits,FICA Temp,2012
EXPENSE,1128,Revolving Fund,PRCR - Recreation,Parks & Rec Automation,Employee Benefits,FICA Temp,2012
EXPENSE,2201,Revolving Fund,PRCR - Recreation,Parks & Rec Marketing,Employee Benefits,FICA Temp,2012
EXPENSE,124,Revolving Fund,PRCR - Recreation,Raleigh Youth Council,Employee Benefits,FICA Temp,2012
EXPENSE,341,Revolving Fund,PRCR - Recreation,Run For The Oaks,Employee Benefits,FICA Temp,2012
EXPENSE,2728,Revolving Fund,PRCR - Recreation,Youth Programs,Employee Benefits,FICA Temp,2012
EXPENSE,6200,Revolving Fund,PRCR - Recreation,Teen Programs,Employee Benefits,FICA Temp,2012
EXPENSE,8370,Revolving Fund,PRCR - Recreation,Tennis,Employee Benefits,FICA Temp,2012
EXPENSE,434,Revolving Fund,PRCR - Recreation,Tucker Mansion,Employee Benefits,FICA Temp,2012
EXPENSE,651,Revolving Fund,PRCR - Recreation,Vhip,Employee Benefits,FICA Temp,2012
EXPENSE,12369,Revolving Fund,PRCR - Recreation,Aquatic Instruction Programs,Employee Benefits,FICA Temp,2012
EXPENSE,868,Revolving Fund,PRCR - Recreation,Anderson Point,Employee Benefits,FICA Temp,2012
EXPENSE,620,Revolving Fund,PRCR - Recreation,Third Party Events,Employee Benefits,FICA Temp,2012
EXPENSE,899,Revolving Fund,PRCR - Recreation,St Monica Teens,Employee Benefits,FICA Temp,2012
EXPENSE,7000,Revolving Fund,PRCR - Recreation,Parks & Rec Marketing,Miscellaneous,Promotions,2012
EXPENSE,200,Revolving Fund,PRCR - Recreation,Raleigh Youth Council,Miscellaneous,Promotions,2012
EXPENSE,15750,Revolving Fund,PRCR - Recreation,Parks & Rec-Revolving,Miscellaneous,Advertising,2012
EXPENSE,3000,Revolving Fund,PRCR - Recreation,Athletics,Miscellaneous,Advertising,2012
EXPENSE,5000,Revolving Fund,PRCR - Recreation,General Recreation,Miscellaneous,Advertising,2012
EXPENSE,500,Revolving Fund,PRCR - Recreation,Golden Years,Miscellaneous,Advertising,2012
EXPENSE,10000,Revolving Fund,PRCR - Recreation,Parks & Rec Marketing,Miscellaneous,Advertising,2012
EXPENSE,500,Revolving Fund,PRCR - Recreation,Run For The Oaks,Miscellaneous,Advertising,2012
EXPENSE,100,Revolving Fund,PRCR - Recreation,Tennis,Miscellaneous,Advertising,2012
EXPENSE,100,Revolving Fund,PRCR - Recreation,Aquatic Instruction Programs,Miscellaneous,Advertising,2012
EXPENSE,83682,Revolving Fund,PRCR - Recreation,Parks & Rec-Revolving,Direct Expenses,Rsv-Program,2012
EXPENSE,5634,Revolving Fund,PRCR - Recreation,Adventure Camps,Direct Expenses,Rsv-Program,2012
EXPENSE,3470,Revolving Fund,PRCR - Recreation,Community Ctr Equipment,Direct Expenses,Rsv-Program,2012
EXPENSE,9580,Revolving Fund,PRCR - Recreation,Athletics,Direct Expenses,Rsv-Program,2012
EXPENSE,5000,Revolving Fund,PRCR - Recreation,General Recreation,Direct Expenses,Rsv-Program,2012
EXPENSE,33942,Revolving Fund,PRCR - Recreation,Parks & Rec Automation,Direct Expenses,Rsv-Program,2012
EXPENSE,1000,Revolving Fund,PRCR - Recreation,Parks & Rec Marketing,Direct Expenses,Rsv-Program,2012
EXPENSE,1000,Revolving Fund,PRCR - Recreation,Raleigh Youth Council,Direct Expenses,Rsv-Program,2012
EXPENSE,7500,Revolving Fund,PRCR - Recreation,Youth Programs,Direct Expenses,Rsv-Program,2012
EXPENSE,10303,Revolving Fund,PRCR - Recreation,Teen Programs,Direct Expenses,Rsv-Program,2012
EXPENSE,250,Revolving Fund,PRCR - Recreation,Tennis,Direct Expenses,Rsv-Program,2012
EXPENSE,500,Revolving Fund,PRCR - Recreation,Tucker Mansion,Direct Expenses,Rsv-Program,2012
EXPENSE,1865,Revolving Fund,PRCR - Recreation,Vhip,Direct Expenses,Rsv-Program,2012
EXPENSE,468,Revolving Fund,PRCR - Recreation,Aquatic Instruction Programs,Direct Expenses,Rsv-Program,2012
EXPENSE,4434,Revolving Fund,PRCR - Recreation,Anderson Point,Direct Expenses,Rsv-Program,2012
EXPENSE,750,Revolving Fund,PRCR - Recreation,Parks & Rec-Revolving,Direct Expenses,Rental-Other,2012
EXPENSE,2500,Revolving Fund,PRCR - Recreation,Adventure Camps,Direct Expenses,Rental-Other,2012
EXPENSE,21320,Revolving Fund,PRCR - Recreation,Parks & Rec-Revolving,Employee Benefits,Medicare Temp,2012
EXPENSE,638,Revolving Fund,PRCR - Recreation,Adventure Camps,Employee Benefits,Medicare Temp,2012
EXPENSE,290,Revolving Fund,PRCR - Recreation,Community Ctr Equipment,Employee Benefits,Medicare Temp,2012
EXPENSE,1160,Revolving Fund,PRCR - Recreation,Athletics,Employee Benefits,Medicare Temp,2012
EXPENSE,580,Revolving Fund,PRCR - Recreation,General Recreation,Employee Benefits,Medicare Temp,2012
EXPENSE,264,Revolving Fund,PRCR - Recreation,Parks & Rec Automation,Employee Benefits,Medicare Temp,2012
EXPENSE,515,Revolving Fund,PRCR - Recreation,Parks & Rec Marketing,Employee Benefits,Medicare Temp,2012
EXPENSE,29,Revolving Fund,PRCR - Recreation,Raleigh Youth Council,Employee Benefits,Medicare Temp,2012
EXPENSE,80,Revolving Fund,PRCR - Recreation,Run For The Oaks,Employee Benefits,Medicare Temp,2012
EXPENSE,638,Revolving Fund,PRCR - Recreation,Youth Programs,Employee Benefits,Medicare Temp,2012
EXPENSE,1450,Revolving Fund,PRCR - Recreation,Teen Programs,Employee Benefits,Medicare Temp,2012
EXPENSE,1957,Revolving Fund,PRCR - Recreation,Tennis,Employee Benefits,Medicare Temp,2012
EXPENSE,101,Revolving Fund,PRCR - Recreation,Tucker Mansion,Employee Benefits,Medicare Temp,2012
EXPENSE,152,Revolving Fund,PRCR - Recreation,Vhip,Employee Benefits,Medicare Temp,2012
EXPENSE,2893,Revolving Fund,PRCR - Recreation,Aquatic Instruction Programs,Employee Benefits,Medicare Temp,2012
EXPENSE,203,Revolving Fund,PRCR - Recreation,Anderson Point,Employee Benefits,Medicare Temp,2012
EXPENSE,145,Revolving Fund,PRCR - Recreation,Third Party Events,Employee Benefits,Medicare Temp,2012
EXPENSE,210,Revolving Fund,PRCR - Recreation,St Monica Teens,Employee Benefits,Medicare Temp,2012
EXPENSE,24950,Revolving Fund,PRCR - Recreation,Parks & Rec-Revolving,Miscellaneous,Mileage Reimb,2012
EXPENSE,1000,Revolving Fund,PRCR - Recreation,Adventure Camps,Miscellaneous,Mileage Reimb,2012
EXPENSE,1000,Revolving Fund,PRCR - Recreation,General Recreation,Miscellaneous,Mileage Reimb,2012
EXPENSE,500,Revolving Fund,PRCR - Recreation,Golden Years,Miscellaneous,Mileage Reimb,2012
EXPENSE,1000,Revolving Fund,PRCR - Recreation,Parks & Rec Automation,Miscellaneous,Mileage Reimb,2012
EXPENSE,500,Revolving Fund,PRCR - Recreation,Parks & Rec Marketing,Miscellaneous,Mileage Reimb,2012
EXPENSE,500,Revolving Fund,PRCR - Recreation,Youth Programs,Miscellaneous,Mileage Reimb,2012
EXPENSE,6000,Revolving Fund,PRCR - Recreation,Teen Programs,Miscellaneous,Mileage Reimb,2012
EXPENSE,500,Revolving Fund,PRCR - Recreation,Tennis,Miscellaneous,Mileage Reimb,2012
EXPENSE,500,Revolving Fund,PRCR - Recreation,Vhip,Miscellaneous,Mileage Reimb,2012
EXPENSE,1320,Revolving Fund,PRCR - Recreation,Anderson Point,Miscellaneous,Mileage Reimb,2012
EXPENSE,450,Revolving Fund,PRCR - Recreation,Esl Program,Miscellaneous,Mileage Reimb,2012
EXPENSE,352,Revolving Fund,PRCR - Recreation,St Monica Teens,Miscellaneous,Mileage Reimb,2012
EXPENSE,5890,Revolving Fund,PRCR - Recreation,Parks & Rec Automation,Direct Expenses,Wan Data Line,2012
EXPENSE,18080,Revolving Fund,PRCR - Recreation,Parks & Rec-Revolving,Direct Expenses,Computer Lease,2012
EXPENSE,1800,Revolving Fund,PRCR - Recreation,Athletics,Direct Expenses,Computer Lease,2012
EXPENSE,121500,Revolving Fund,PRCR - Recreation,Parks & Rec Automation,Direct Expenses,Computer Lease,2012
EXPENSE,711,Revolving Fund,PRCR - Recreation,Parks & Rec Marketing,Direct Expenses,Computer Lease,2012
EXPENSE,18000,Revolving Fund,PRCR - Recreation,Youth Programs,Direct Expenses,Computer Lease,2012
EXPENSE,740,Revolving Fund,PRCR - Recreation,Teen Programs,Direct Expenses,Computer Lease,2012
EXPENSE,1700,Revolving Fund,PRCR - Recreation,Tennis,Direct Expenses,Computer Lease,2012
EXPENSE,1662,Revolving Fund,PRCR - Recreation,Aquatic Instruction Programs,Direct Expenses,Computer Lease,2012
EXPENSE,32575,Revolving Fund,PRCR - Recreation,Parks & Rec-Revolving,Direct Expenses,Print Copy-Rmb,2012
EXPENSE,3000,Revolving Fund,PRCR - Recreation,Athletics,Direct Expenses,Print Copy-Rmb,2012
EXPENSE,500,Revolving Fund,PRCR - Recreation,Fletcher Award Program,Direct Expenses,Print Copy-Rmb,2012
EXPENSE,7000,Revolving Fund,PRCR - Recreation,General Recreation,Direct Expenses,Print Copy-Rmb,2012
EXPENSE,2500,Revolving Fund,PRCR - Recreation,Golden Years,Direct Expenses,Print Copy-Rmb,2012
EXPENSE,115000,Revolving Fund,PRCR - Recreation,Parks & Rec Marketing,Direct Expenses,Print Copy-Rmb,2012
EXPENSE,1619,Revolving Fund,PRCR - Recreation,Run For The Oaks,Direct Expenses,Print Copy-Rmb,2012
EXPENSE,1000,Revolving Fund,PRCR - Recreation,Youth Programs,Direct Expenses,Print Copy-Rmb,2012
EXPENSE,1500,Revolving Fund,PRCR - Recreation,Teen Programs,Direct Expenses,Print Copy-Rmb,2012
EXPENSE,250,Revolving Fund,PRCR - Recreation,Tennis,Direct Expenses,Print Copy-Rmb,2012
EXPENSE,1000,Revolving Fund,PRCR - Recreation,Anderson Point,Direct Expenses,Print Copy-Rmb,2012
EXPENSE,725,Revolving Fund,PRCR - Recreation,St Monica Teens,Direct Expenses,Print Copy-Rmb,2012
EXPENSE,4500,Revolving Fund,PRCR - Recreation,Athletics,Other Expense,Insurance Other,2012
EXPENSE,1500,Revolving Fund,PRCR - Recreation,Parks & Rec-Revolving,Direct Expenses,Lease-Equipment,2012
EXPENSE,30550,Revolving Fund,PRCR - Recreation,Parks & Rec-Revolving,Direct Expenses,Office Supplies,2012
EXPENSE,500,Revolving Fund,PRCR - Recreation,Adventure Camps,Direct Expenses,Office Supplies,2012
EXPENSE,5000,Revolving Fund,PRCR - Recreation,Community Ctr Equipment,Direct Expenses,Office Supplies,2012
EXPENSE,100,Revolving Fund,PRCR - Recreation,General Recreation,Direct Expenses,Office Supplies,2012
EXPENSE,500,Revolving Fund,PRCR - Recreation,Golden Years,Direct Expenses,Office Supplies,2012
EXPENSE,3000,Revolving Fund,PRCR - Recreation,Parks & Rec Marketing,Direct Expenses,Office Supplies,2012
EXPENSE,1000,Revolving Fund,PRCR - Recreation,Parks & Rec Sports Consortium,Direct Expenses,Office Supplies,2012
EXPENSE,1459,Revolving Fund,PRCR - Recreation,Youth Programs,Direct Expenses,Office Supplies,2012
EXPENSE,1200,Revolving Fund,PRCR - Recreation,Teen Programs,Direct Expenses,Office Supplies,2012
EXPENSE,100,Revolving Fund,PRCR - Recreation,Tennis,Direct Expenses,Office Supplies,2012
EXPENSE,850,Revolving Fund,PRCR - Recreation,Tucker Mansion,Direct Expenses,Office Supplies,2012
